AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
325.0,766.0,789.0,769.0,651.0,2526.0,1381.0,1265.0,889.0,1356.0,1559.0,392.0,805.0,3449.0,1670.0,1180.0,468.0,834.0,354.0,150.0,237.0,229.0,694.0,558.0,531.0,1111.0,182.0
323.0,1273.0,1005.0,535.0,2345.0,2309.0,2381.0,1460.0,875.0,2409.0,1146.0,324.0,559.0,2809.0,1711.0,1094.0,1246.0,873.0,6061.0,3167.0,549.0,387.0,765.0,759.0,470.0,19030.0,247.0
276.0,792.0,1238.0,1652.0,1382.0,1956.0,1336.0,1006.0,910.0,1173.0,1253.0,247.0,537.0,1773.0,1428.0,1398.0,451.0,889.0,2159.0,84.0,599.0,83.0,551.0,776.0,641.0,4135.0,151.0
118.0,959.0,511.0,266.0,975.0,469.0,989.0,628.0,454.0,386.0,336.0,154.0,514.0,1366.0,263.0,995.0,212.0,680.0,596.0,667.0,229.0,68.0,210.0,474.0,536.0,3392.0,123.0
158.0,738.0,335.0,3022.0,807.0,1842.0,921.0,1281.0,1181.0,630.0,1277.0,393.0,494.0,2616.0,469.0,381.0,793.0,623.0,1439.0,118.0,646.0,2152.0,362.0,355.0,399.0,2788.0,289.0
271.0,851.0,1383.0,1575.0,1998.0,3347.0,1220.0,680.0,929.0,1332.0,979.0,417.0,747.0,3072.0,1746.0,337.0,958.0,729.0,3297.0,1769.0,672.0,463.0,1154.0,1307.0,499.0,7502.0,332.0
212.0,984.0,1698.0,482.0,2847.0,1523.0,1886.0,1656.0,1266.0,1293.0,1446.0,322.0,554.0,2328.0,913.0,1191.0,853.0,1110.0,2624.0,894.0,925.0,1069.0,1145.0,1677.0,470.0,9347.0,327.0
282.0,835.0,761.0,496.0,2360.0,3540.0,1617.0,1923.0,1097.0,1611.0,1426.0,390.0,1030.0,2436.0,912.0,1114.0,943.0,859.0,2404.0,1068.0,749.0,1039.0,1051.0,1030.0,728.0,9765.0,256.0
340.0,799.0,953.0,247.0,2131.0,2152.0,2455.0,1246.0,1064.0,1773.0,6122.0,394.0,805.0,2841.0,2008.0,668.0,642.0,850.0,2600.0,447.0,1098.0,167.0,1054.0,996.0,827.0,9921.0,285.0
269.0,657.0,802.0,239.0,8822.0,1794.0,1440.0,0.0,424.0,1417.0,2075.0,220.0,722.0,1130.0,1410.0,1285.0,493.0,1147.0,306.0,48.0,464.0,1263.0,886.0,861.0,1411.0,7073.0,262.0
